Hearing Date and Time Start,ALJ,Case
2015-06-11T10:30:00,Ballin,14-001649
2015-06-11T11:00:00,Manley,14-001787
2015-06-11T13:00:00,Ballin,14-001768
2015-06-11T13:00:00,Cyrus,14-001762
2015-06-12T10:30:00,Haggerty,14-002825
2015-06-12T14:00:00,Haggerty,14-002922
2015-06-12T15:00:00,Haggerty,14-002929
2015-06-15T10:30:00,Ballin,14-001275
2015-06-15T13:00:00,Haggerty,14-001803
2015-06-15T14:00:00,Haggerty,14-001837
2015-06-15T15:00:00,Ballin,14-001726
2015-06-15T15:00:00,Haggerty,14-001862
2015-06-16T09:00:00,Ballin,14-001689
2015-06-16T09:00:00,Cyrus,14-001691
2015-06-16T10:30:00,Ballin,14-001785
2015-06-16T10:30:00,Cyrus,14-001872
2015-06-16T15:00:00,Ballin,14-001861
2015-06-17T09:00:00,Cyrus,14-000210
2015-06-17T09:00:00,Haggerty,14-002033
2015-06-17T09:00:00,Haggerty,14-002034
2015-06-17T09:00:00,Haggerty,14-002043
2015-06-17T09:00:00,Haggerty,14-002823
2015-06-17T10:30:00,Cyrus,14-001882
2015-06-17T13:00:00,Cyrus,14-001651
2015-06-17T15:00:00,Cyrus,14-001675
2015-06-18T09:00:00,Ballin,14-001725
2015-06-18T10:00:00,Manley,14-003579
2015-06-18T10:30:00,Manley,14-002954
2015-06-18T10:30:00,Ballin,14-001894
2015-06-18T10:30:00,Cyrus,14-001942
2015-06-18T11:00:00,Manley,14-001625
2015-06-18T13:00:00,Ballin,14-001791
2015-06-18T13:00:00,Cyrus,14-001800
2015-06-18T15:00:00,Ballin,14-001635
2015-06-19T09:00:00,Haggerty,14-001976
2015-06-19T10:30:00,Haggerty,14-001973
2015-06-19T13:00:00,Haggerty,14-001959
2015-06-19T14:00:00,Haggerty,14-001980
2015-06-22T10:30:00,Haggerty,14-002050
2015-06-22T10:30:00,Ballin,14-002022
2015-06-22T13:00:00,Haggerty,14-001898
2015-06-23T09:00:00,Ballin,14-002139
2015-06-23T09:30:00,Manley,14-002373
2015-06-23T10:00:00,Manley,14-001982
2015-06-23T10:30:00,Ballin,14-002060
2015-06-23T10:30:00,Cyrus,14-002093
2015-06-23T11:00:00,Manley,14-003146
2015-06-23T13:00:00,Cyrus,14-002099
2015-06-23T13:00:00,Ballin,14-002071
2015-06-23T14:00:00,Ballin,14-002084
2015-06-23T14:00:00,Cyrus,14-002121
2015-06-23T15:00:00,Ballin,14-002085
2015-06-24T09:00:00,Cyrus,14-001420
2015-06-24T13:00:00,Cyrus,14-002179
2015-06-24T15:00:00,Cyrus,14-002153
2015-06-24T15:00:00,Cyrus,14-002160
2015-06-25T09:00:00,Manley,14-003188
2015-06-25T09:00:00,Cyrus,14-002752
2015-06-25T09:30:00,Manley,14-003219
2015-06-25T10:00:00,Manley,14-003463
2015-06-25T10:30:00,Ballin,14-002390
2015-06-25T10:30:00,Cyrus,14-002529
2015-06-25T13:00:00,Cyrus,14-002089
2015-06-25T14:00:00,Cyrus,14-002539
2015-06-25T15:00:00,Ballin,14-002519
2015-06-25T15:00:00,Cyrus,14-002561
2015-06-26T13:30:00,Ballin,14-003834
2015-06-29T09:00:00,Haggerty,14-002930
2015-06-29T10:30:00,Ballin,14-002672
2015-06-29T10:30:00,Haggerty,14-002760
2015-06-29T13:00:00,Haggerty,14-002819
2015-06-29T13:00:00,Ballin,14-002647
2015-06-29T14:00:00,Haggerty,14-002919
2015-06-29T14:30:00,Ballin,14-002822
2015-06-29T15:00:00,Haggerty,14-002940
2015-06-30T09:00:00,Ballin,14-003089
2015-06-30T10:00:00,Ballin,14-003140
2015-06-30T13:00:00,Cyrus,14-001198
2015-06-30T14:00:00,Cyrus,14-001923
2015-06-30T15:00:00,Haggerty,14-001807
2015-07-01T09:00:00,Cyrus,14-002604
2015-07-01T10:00:00,Cyrus,14-001695
2015-07-01T10:30:00,Ballin,14-001879
2015-07-01T10:30:00,Ballin,14-001920
2015-07-01T10:30:00,Haggerty,14-001073
2015-07-01T13:00:00,Ballin,14-000878
2015-07-01T13:00:00,Ballin,14-000877
2015-07-01T13:00:00,Haggerty,14-000997
2015-07-01T14:00:00,Cyrus,14-002004
2015-07-02T09:00:00,Ballin,14-002343
2015-07-02T10:30:00,Ballin,14-002722
2015-07-02T13:00:00,Ballin,14-002354
2015-07-02T14:30:00,Ballin,14-002509
2015-07-07T09:00:00,Manley,14-002176
2015-07-07T09:00:00,Cyrus,14-002541
2015-07-07T09:30:00,Manley,14-002957
2015-07-07T10:00:00,Manley,14-002958
2015-07-07T10:30:00,,14-002852
2015-07-07T13:00:00,Haggerty,14-002631
2015-07-08T09:00:00,Haggerty,14-001066
2015-07-08T13:00:00,Cyrus,14-002634
2015-07-08T14:30:00,Cyrus,14-002701
2015-07-08T15:00:00,Ballin,14-001992
2015-07-09T09:00:00,Cyrus,14-001218
2015-07-09T09:30:00,Manley,14-003045
2015-07-09T10:00:00,Ballin,14-001538
2015-07-09T10:30:00,Manley,14-003136
2015-07-09T14:30:00,Cyrus,14-002734
2015-07-10T13:00:00,Haggerty,14-002956
2015-07-10T14:00:00,Haggerty,14-002773
2015-07-10T14:00:00,Haggerty,14-002774
2015-07-13T09:00:00,Haggerty,14-001823
2015-07-13T09:00:00,Haggerty,14-001833
